investigation_id,transaction_id,fraud_prediction_id,investigation_status,investigation_priority,investigator_name,investigation_notes,investigation_result,created_at,resolved_at
INV000032,TXN002086,FRD002086,Open,Critical,Chaitaly Lad,High-risk fraudulent transaction requires immediate investigation.,,2025-03-22 04:51:40,
INV000033,TXN002106,FRD002106,Closed,Critical,William Goyal,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2025-01-19 09:26:42,2025-01-23 09:26:42
INV000034,TXN002137,FRD002137,Resolved,High,Karan Koshy,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-05-07 04:41:48,2026-05-09 04:41:48
INV000035,TXN002309,FRD002309,Resolved,High,Sneha Rastogi,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-05-02 04:52:29,2024-05-07 04:52:29
INV000036,TXN002333,FRD002333,Closed,High,Rehaan Sarna,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-04-23 10:44:46,2024-04-27 10:44:46
INV000037,TXN002427,FRD002427,Open,High,Yatin Raj,Medium-risk fraudulent transaction flagged for detailed review.,,2025-01-20 07:10:39,
INV000038,TXN002529,FRD002529,In Progress,Critical,Kashish Bajaj,High-risk fraudulent transaction requires immediate investigation.,,2024-01-04 10:26:02,
INV000039,TXN002571,FRD002571,Resolved,High,Xavier Goyal,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-06-24 23:56:38,2026-06-29 23:56:38
INV000040,TXN002622,FRD002622,Resolved,Critical,Dayita Mand,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2026-05-10 22:58:22,2026-05-12 22:58:22
INV000041,TXN002740,FRD002740,Closed,Critical,Leela Prasad,High-risk fraudulent transaction requires immediate investigation.,False Positive,2025-06-02 13:16:30,2025-06-07 13:16:30
INV000042,TXN002816,FRD002816,Resolved,High,Udant Borde,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-02-29 23:07:13,2024-03-02 23:07:13
INV000043,TXN002868,FRD002868,In Progress,Critical,Ikshita Jani,High-risk fraudulent transaction requires immediate investigation.,,2024-11-27 23:49:42,
INV000044,TXN002870,FRD002870,Resolved,Critical,Faras Mishra,High-risk fraudulent transaction requires immediate investigation.,False Positive,2024-03-07 21:02:56,2024-03-11 21:02:56
INV000045,TXN002929,FRD002929,Open,Critical,Irya Chowdhury,High-risk fraudulent transaction requires immediate investigation.,,2024-06-27 20:35:24,
INV000046,TXN002990,FRD002990,Open,High,Bhavani Walia,Medium-risk fraudulent transaction flagged for detailed review.,,2025-04-24 17:54:38,
INV000047,TXN003015,FRD003015,In Progress,High,Ijaya Patil,Medium-risk fraudulent transaction flagged for detailed review.,,2025-05-10 22:55:32,
INV000048,TXN003064,FRD003064,In Progress,High,Barkha Ravel,Medium-risk fraudulent transaction flagged for detailed review.,,2024-09-01 17:34:52,
INV000049,TXN003138,FRD003138,In Progress,Critical,Urmi Bhatnagar,High-risk fraudulent transaction requires immediate investigation.,,2024-05-07 16:01:08,
INV000050,TXN003173,FRD003173,Closed,High,Anamika Nazareth,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-11-06 12:47:16,2024-11-07 12:47:16
INV000051,TXN003214,FRD003214,In Progress,Critical,Tara Loke,High-risk fraudulent transaction requires immediate investigation.,,2024-03-05 00:27:30,
INV000052,TXN003222,FRD003222,Resolved,Critical,Aayush Kibe,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-04-22 23:54:26,2024-04-23 23:54:26
INV000053,TXN003236,FRD003236,Resolved,High,Anya Malhotra,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-07-29 00:49:18,2025-08-02 00:49:18
INV000054,TXN003265,FRD003265,Closed,High,Ekanta Koshy,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2026-03-02 09:17:27,2026-03-03 09:17:27
INV000055,TXN003460,FRD003460,Resolved,High,Janani Iyengar,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-08-29 06:58:22,2025-09-04 06:58:22
INV000056,TXN003498,FRD003498,Resolved,High,Charvi Menon,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-12-24 19:01:51,2024-12-31 19:01:51
INV000057,TXN003523,FRD003523,In Progress,Critical,Wazir Ghose,High-risk fraudulent transaction requires immediate investigation.,,2024-05-27 12:57:35,
INV000058,TXN003583,FRD003583,Closed,High,Waida Maharaj,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2026-04-06 14:05:38,2026-04-08 14:05:38
INV000059,TXN003669,FRD003669,In Progress,High,Teerth Butala,Medium-risk fraudulent transaction flagged for detailed review.,,2024-12-05 19:52:22,
INV000060,TXN003800,FRD003800,Closed,High,Tanveer Chandran,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-06-06 07:32:35,2024-06-11 07:32:35
INV000061,TXN003847,FRD003847,Resolved,High,Oni Badal,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2024-11-12 20:23:50,2024-11-19 20:23:50
INV000062,TXN003886,FRD003886,Closed,High,Ekaja Korpal,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-11-04 12:45:34,2025-11-10 12:45:34
INV000063,TXN003910,FRD003910,Resolved,Critical,Laksh Muni,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-11-18 09:05:25,2024-11-23 09:05:25
INV000064,TXN003945,FRD003945,In Progress,High,Anirudh Shere,Medium-risk fraudulent transaction flagged for detailed review.,,2024-10-18 01:52:27,
INV000065,TXN003952,FRD003952,In Progress,High,Qushi Raju,Medium-risk fraudulent transaction flagged for detailed review.,,2024-01-17 21:38:39,
INV000066,TXN003975,FRD003975,Closed,High,Ojasvi Gola,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-07-23 23:52:35,2024-07-27 23:52:35
INV000067,TXN004027,FRD004027,Resolved,High,Maya Oza,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2026-04-17 21:20:51,2026-04-23 21:20:51
INV000068,TXN004115,FRD004115,In Progress,High,William Zacharia,Medium-risk fraudulent transaction flagged for detailed review.,,2025-12-05 11:17:25,
INV000069,TXN004142,FRD004142,Closed,High,Tara Bir,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-12-30 23:04:02,2026-01-05 23:04:02
INV000070,TXN004179,FRD004179,Open,Critical,Tanay Bahl,High-risk fraudulent transaction requires immediate investigation.,,2025-04-25 19:30:04,
INV000071,TXN004225,FRD004225,Resolved,High,Kalpit Karnik,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-03-29 21:31:43,2026-03-30 21:31:43
INV000072,TXN004460,FRD004460,Closed,High,Chakrika Nagy,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2024-03-03 16:42:25,2024-03-06 16:42:25
INV000073,TXN004473,FRD004473,Closed,High,Yashoda Narain,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-09-06 17:44:44,2024-09-09 17:44:44
INV000074,TXN004541,FRD004541,Open,High,Gaurav Loyal,Medium-risk fraudulent transaction flagged for detailed review.,,2024-03-16 17:47:21,
INV000075,TXN004648,FRD004648,In Progress,High,Kamala Dhaliwal,Medium-risk fraudulent transaction flagged for detailed review.,,2025-04-12 12:33:04,
INV000076,TXN004655,FRD004655,In Progress,High,Krishna Rastogi,Medium-risk fraudulent transaction flagged for detailed review.,,2025-05-02 15:36:41,
INV000077,TXN004672,FRD004672,Closed,High,Hemangini Rattan,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-06-13 06:26:41,2024-06-15 06:26:41
INV000078,TXN004697,FRD004697,Resolved,High,Baghyawati Krishnamurthy,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-04-18 12:25:35,2025-04-25 12:25:35
INV000079,TXN004760,FRD004760,In Progress,Critical,Reyansh D’Alia,High-risk fraudulent transaction requires immediate investigation.,,2026-01-14 05:08:56,
INV000080,TXN004827,FRD004827,Closed,High,Veda Agrawal,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-07-05 16:31:40,2025-07-11 16:31:40
INV000081,TXN004874,FRD004874,Resolved,High,Yash Ravi,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-05-15 18:59:30,2024-05-16 18:59:30
INV000082,TXN004918,FRD004918,Closed,High,Dalbir Prasad,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2024-09-06 08:19:31,2024-09-09 08:19:31
INV000083,TXN005162,FRD005162,Closed,Critical,Diya Raja,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2025-08-16 22:25:42,2025-08-19 22:25:42
INV000084,TXN005203,FRD005203,Open,Critical,Qushi Badami,High-risk fraudulent transaction requires immediate investigation.,,2026-01-27 06:22:40,
INV000085,TXN005283,FRD005283,Closed,High,Urvashi Tiwari,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-07-29 19:50:43,2024-08-04 19:50:43
INV000086,TXN005374,FRD005374,Closed,High,Qarin Menon,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-03-06 17:41:03,2024-03-07 17:41:03
INV000087,TXN005442,FRD005442,Resolved,High,Gaurika Master,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-02-14 08:05:42,2024-02-16 08:05:42
INV000088,TXN005448,FRD005448,Resolved,High,Eiravati Bhardwaj,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-02-03 22:57:01,2024-02-06 22:57:01
INV000089,TXN005662,FRD005662,Open,High,Sanya Tank,Medium-risk fraudulent transaction flagged for detailed review.,,2024-09-10 08:00:50,
INV000090,TXN005739,FRD005739,Resolved,High,Devika Karpe,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2024-05-02 03:43:51,2024-05-09 03:43:51
INV000091,TXN005895,FRD005895,Closed,High,Samaksh Chaudhuri,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-01-24 05:36:21,2024-01-28 05:36:21
INV000092,TXN005939,FRD005939,Closed,High,Vaishnavi Kar,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-03-06 07:02:45,2025-03-10 07:02:45
INV000093,TXN006077,FRD006077,In Progress,Critical,Janya Ratti,High-risk fraudulent transaction requires immediate investigation.,,2024-06-28 04:20:02,
INV000094,TXN006159,FRD006159,Resolved,Critical,Hemal Virk,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-11-18 05:06:44,2024-11-25 05:06:44
INV000095,TXN006165,FRD006165,Resolved,High,Tanay Rege,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-10-21 00:26:33,2025-10-25 00:26:33
INV000096,TXN006279,FRD006279,Resolved,Critical,Advay Vyas,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-01-02 09:01:25,2024-01-09 09:01:25
INV000097,TXN006302,FRD006302,Closed,Critical,Xavier Krish,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-03-21 10:30:38,2024-03-26 10:30:38
INV000098,TXN006371,FRD006371,Closed,High,Ojasvi Chaudhry,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-10-24 10:42:39,2025-10-30 10:42:39
INV000099,TXN006408,FRD006408,Resolved,High,Pahal Palla,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-02-21 11:15:11,2025-02-22 11:15:11
INV000100,TXN006424,FRD006424,Open,Critical,Rishi Bhattacharyya,High-risk fraudulent transaction requires immediate investigation.,,2024-05-10 09:08:45,
INV000101,TXN006447,FRD006447,Resolved,High,Kalpit Batta,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-01-06 21:38:21,2026-01-08 21:38:21
INV000102,TXN006521,FRD006521,Open,High,Sanya Nagy,Medium-risk fraudulent transaction flagged for detailed review.,,2025-11-10 16:18:30,
INV000103,TXN006538,FRD006538,In Progress,High,Urvashi Subramanian,Medium-risk fraudulent transaction flagged for detailed review.,,2025-07-27 19:24:41,
INV000104,TXN006546,FRD006546,Closed,High,Jacob Kapur,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-03-29 05:23:00,2026-04-03 05:23:00
INV000105,TXN006550,FRD006550,Closed,Critical,Nathan Parekh,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-10-25 18:01:49,2024-10-26 18:01:49
INV000106,TXN006584,FRD006584,Open,High,Yoshita Sastry,Medium-risk fraudulent transaction flagged for detailed review.,,2024-03-12 02:35:24,
INV000107,TXN006711,FRD006711,In Progress,High,Advik Shenoy,Medium-risk fraudulent transaction flagged for detailed review.,,2025-03-29 12:47:35,
INV000108,TXN006730,FRD006730,Closed,High,Unni Dave,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-01-13 11:00:12,2026-01-18 11:00:12
INV000109,TXN006738,FRD006738,In Progress,High,George Narula,Medium-risk fraudulent transaction flagged for detailed review.,,2024-06-03 04:05:32,
INV000110,TXN006805,FRD006805,Resolved,High,Yauvani Balay,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-09-21 10:55:45,2024-09-27 10:55:45
INV000111,TXN006830,FRD006830,Resolved,High,Omaja Sathe,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-01-15 21:15:21,2026-01-21 21:15:21
INV000112,TXN006854,FRD006854,Closed,High,Dayamai Pingle,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-02-23 15:37:41,2024-02-28 15:37:41
INV000113,TXN006991,FRD006991,Closed,Critical,Avni Agrawal,High-risk fraudulent transaction requires immediate investigation.,False Positive,2025-08-05 08:36:28,2025-08-07 08:36:28
INV000114,TXN007059,FRD007059,Closed,High,Yamini Prakash,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-08-08 04:49:56,2025-08-14 04:49:56
INV000115,TXN007065,FRD007065,Resolved,High,Edhitha Kothari,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-06-18 14:52:35,2024-06-24 14:52:35
INV000116,TXN007089,FRD007089,Closed,High,Chasmum Sahni,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-01-16 12:08:57,2024-01-22 12:08:57
INV000117,TXN007131,FRD007131,Closed,High,Siya Srinivas,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-09-09 18:03:43,2025-09-15 18:03:43
INV000118,TXN007160,FRD007160,Resolved,High,Ayushman Narayanan,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-07-18 05:25:19,2025-07-24 05:25:19
INV000119,TXN007186,FRD007186,Open,High,George Trivedi,Medium-risk fraudulent transaction flagged for detailed review.,,2024-03-22 14:57:07,
INV000120,TXN007197,FRD007197,In Progress,High,Chandran Bhalla,Medium-risk fraudulent transaction flagged for detailed review.,,2024-07-12 07:31:51,
INV000121,TXN007273,FRD007273,In Progress,Critical,Tanmayi Pai,High-risk fraudulent transaction requires immediate investigation.,,2024-10-27 12:31:37,
INV000122,TXN007274,FRD007274,Open,High,Vaishnavi Goel,Medium-risk fraudulent transaction flagged for detailed review.,,2024-04-17 07:59:29,
INV000123,TXN007318,FRD007318,Resolved,High,Nirja Apte,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-03-28 20:39:22,2024-03-29 20:39:22
INV000124,TXN007357,FRD007357,Open,Critical,Yoshita Borah,High-risk fraudulent transaction requires immediate investigation.,,2025-10-19 00:12:25,
INV000125,TXN007562,FRD007562,Resolved,Critical,Nimrat Narang,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2025-07-23 11:17:47,2025-07-30 11:17:47
INV000126,TXN007629,FRD007629,Closed,High,Eesha Chandran,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-08-30 23:42:10,2024-09-03 23:42:10
INV000127,TXN007742,FRD007742,In Progress,Critical,Indira Magar,High-risk fraudulent transaction requires immediate investigation.,,2026-01-23 03:25:51,
INV000128,TXN007773,FRD007773,In Progress,High,Vaishnavi Manne,Medium-risk fraudulent transaction flagged for detailed review.,,2024-01-25 20:26:43,
INV000129,TXN007854,FRD007854,Resolved,High,Balvan Singh,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2026-06-03 06:15:40,2026-06-05 06:15:40
INV000130,TXN007985,FRD007985,In Progress,Critical,Vasana Chatterjee,High-risk fraudulent transaction requires immediate investigation.,,2025-10-18 19:04:24,
INV000131,TXN008155,FRD008155,Closed,Critical,Anita Garg,High-risk fraudulent transaction requires immediate investigation.,False Positive,2024-10-10 10:12:39,2024-10-12 10:12:39
INV000132,TXN008188,FRD008188,Open,High,Liam Sarma,Medium-risk fraudulent transaction flagged for detailed review.,,2025-08-25 01:36:34,
INV000133,TXN008218,FRD008218,Closed,High,Garima Dasgupta,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-10-08 10:01:57,2025-10-09 10:01:57
INV000134,TXN008322,FRD008322,In Progress,High,Wyatt Arora,Medium-risk fraudulent transaction flagged for detailed review.,,2026-02-20 01:28:47,
INV000135,TXN008382,FRD008382,Resolved,Critical,Yashica Chandra,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-05-11 21:27:28,2024-05-14 21:27:28
INV000136,TXN008383,FRD008383,Resolved,Critical,Meghana Narasimhan,High-risk fraudulent transaction requires immediate investigation.,False Positive,2024-11-04 20:09:49,2024-11-06 20:09:49
INV000137,TXN008433,FRD008433,Open,High,Lopa Nagy,Medium-risk fraudulent transaction flagged for detailed review.,,2024-11-25 17:42:39,
INV000138,TXN008536,FRD008536,Open,High,Ishaan Kohli,Medium-risk fraudulent transaction flagged for detailed review.,,2025-08-08 15:34:57,
INV000139,TXN008570,FRD008570,Closed,High,Isaac Narasimhan,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-06-30 18:05:05,2025-07-02 18:05:05
INV000140,TXN008574,FRD008574,In Progress,High,Samar Chad,Medium-risk fraudulent transaction flagged for detailed review.,,2024-12-18 21:25:28,
INV000141,TXN008592,FRD008592,In Progress,High,Frederick Nanda,Medium-risk fraudulent transaction flagged for detailed review.,,2024-06-08 02:55:24,
INV000142,TXN008595,FRD008595,Resolved,Critical,Reva Divan,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2024-01-02 20:54:59,2024-01-03 20:54:59
INV000143,TXN008664,FRD008664,Closed,High,Sanya Taneja,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-05-03 00:27:37,2026-05-05 00:27:37
INV000144,TXN008827,FRD008827,Closed,High,Azad Mutti,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-02-14 12:53:02,2024-02-20 12:53:02
INV000145,TXN008866,FRD008866,Open,High,Raghav Kuruvilla,Medium-risk fraudulent transaction flagged for detailed review.,,2026-06-16 15:39:54,
INV000146,TXN008956,FRD008956,In Progress,High,Shaurya Pant,Medium-risk fraudulent transaction flagged for detailed review.,,2026-05-29 15:00:21,
INV000147,TXN009042,FRD009042,In Progress,Critical,Anvi Dasgupta,High-risk fraudulent transaction requires immediate investigation.,,2026-06-13 12:46:10,
INV000148,TXN009102,FRD009102,Closed,High,Saanvi Sagar,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-12-06 02:12:55,2024-12-12 02:12:55
INV000149,TXN009142,FRD009142,Closed,High,Girindra Sengupta,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-12-26 22:29:58,2024-12-27 22:29:58
INV000150,TXN009179,FRD009179,Closed,High,Kamala Doctor,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-08-05 14:18:22,2024-08-06 14:18:22
INV000151,TXN009341,FRD009341,Resolved,High,Keya Madan,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-02-26 21:50:12,2026-03-01 21:50:12
INV000152,TXN009411,FRD009411,Closed,Critical,Vanya Dada,High-risk fraudulent transaction requires immediate investigation.,False Positive,2026-02-15 12:37:54,2026-02-22 12:37:54
INV000153,TXN009418,FRD009418,Resolved,High,Zarna Venkatesh,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-01-15 17:51:41,2026-01-20 17:51:41
INV000154,TXN009437,FRD009437,In Progress,High,Lohit Sen,Medium-risk fraudulent transaction flagged for detailed review.,,2024-11-05 00:55:38,
INV000155,TXN009447,FRD009447,Resolved,High,Yachana Bajwa,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-10-12 14:38:50,2024-10-16 14:38:50
INV000156,TXN009473,FRD009473,In Progress,High,Henry Dhillon,Medium-risk fraudulent transaction flagged for detailed review.,,2026-03-09 00:58:43,
INV000157,TXN009511,FRD009511,Closed,High,Hemani Sur,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-07-22 01:28:11,2025-07-26 01:28:11
INV000158,TXN009522,FRD009522,Closed,High,Chakrika Bahl,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-11-17 09:15:28,2024-11-23 09:15:28
INV000159,TXN009615,FRD009615,Open,Critical,Wakeeta Date,High-risk fraudulent transaction requires immediate investigation.,,2026-04-04 06:27:04,
INV000160,TXN009626,FRD009626,Resolved,High,Ishani Pandit,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-01-20 05:19:41,2024-01-22 05:19:41
INV000161,TXN009672,FRD009672,In Progress,Critical,Gavin Jain,High-risk fraudulent transaction requires immediate investigation.,,2024-11-03 03:31:19,
INV000162,TXN009733,FRD009733,Closed,High,Hitesh Kaul,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-01-27 11:54:31,2025-01-28 11:54:31
INV000163,TXN009761,FRD009761,Resolved,High,Upasna Gill,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-09-27 15:57:38,2024-10-02 15:57:38
INV000164,TXN009856,FRD009856,Open,High,Omya Swamy,Medium-risk fraudulent transaction flagged for detailed review.,,2025-08-11 04:46:06,
INV000165,TXN009872,FRD009872,Resolved,High,Omkaar Mishra,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-02-21 19:13:21,2025-02-24 19:13:21
INV000166,TXN009894,FRD009894,Closed,High,Urmi Ramaswamy,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-11-16 08:09:43,2025-11-21 08:09:43
